DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2015,ARMÈNIA                       ,Home,1
2015,AUSTRÀLIA                     ,Home,1
2015,ÀUSTRIA                       ,Home,1
2015,BANGLA DESH                   ,Home,3
2015,BÈLGICA                       ,Dona,3
2015,BÈLGICA                       ,Home,1
2015,BIELORÚSSIA                   ,Dona,2
2015,BOLÍVIA                       ,Dona,44
2015,BOLÍVIA                       ,Home,22
2015,"BRASIL, EL                    ",Dona,52
2015,"BRASIL, EL                    ",Home,31
2015,BULGÀRIA                      ,Dona,10
2015,BULGÀRIA                      ,Home,9
2015,"CAMERUN, EL                   ",Dona,1
2015,"CAMERUN, EL                   ",Home,4
2015,"CANADÀ, EL                    ",Dona,2
2015,"CANADÀ, EL                    ",Home,1
2015,COLÒMBIA                      ,Dona,63
2015,COLÒMBIA                      ,Home,57
2015,COREA DEL SUD                 ,Home,2
2015,COSTA RICA                    ,Dona,1
2015,COSTA RICA                    ,Home,2
2015,CROÀCIA                       ,Home,1
2015,CUBA                          ,Dona,26
2015,CUBA                          ,Home,11
2015,DINAMARCA                     ,Dona,1
2015,DINAMARCA                     ,Home,1
2015,DOMINICA                      ,Dona,1
2015,DOMINICA                      ,Home,1
2015,EGIPTE                        ,Dona,3
2015,EGIPTE                        ,Home,11
2015,EL SALVADOR                   ,Dona,6
2015,EL SALVADOR                   ,Home,4
2015,"EQUADOR, L                    ",Dona,48
2015,"EQUADOR, L                    ",Home,61
2015,ESLOVÀQUIA                    ,Dona,2
2015,ESLOVÈNIA                     ,Home,1
2015,ESPANYA                       ,Dona,2650
2015,ESPANYA                       ,Home,2635
