CODI_CARRER,NOM_CARRER,DISTRICTE,NUMERO_INICIAL,NUMERO_FINAL
2255,"MONT PERDUT, DEL              ",6,1,149
2260,"MONTNEGRE, DEL                ",6,1,23
2270,"MONTSENY, DEL                 ",4,0,28
2275,"MONTSERRAT, DE                ",1,1,203
2280,"MONTSERRAT, DE                ",1,0,300
2282,"MONTSERRAT ALAVEDRA, DE       ",5,1,51
2285,"MONTURIOL, DE                 ",5,1,152
2290,"MONTURIOL, DE                 ",5,2,18
2291,"MONTURIOL, DE                 ",5,2,19
2295,"MORELLA, DE                   ",3,1,115
2305,"MOSSÈN A. RODAMILANS, DE      ",2,1,1963
2306,"MORRAL DEL LLOP, DEL          ",6,31,114
2310,"MOSSÈN J. VERDAGUER, DE       ",1,1,25
2315,"MOSSÈN JOSEP MONCAU, DE       ",4,2,94
2320,"MOSSÈN PERRAMON, DE           ",3,1,264
2325,"MOSSÈN PURSALS, DE            ",5,1,80
2330,"MOSSÈN TATCHER, DE            ",6,1,185
2335,"MOZART, DE                    ",4,4,108
2340,"MURA, DE                      ",6,0,162
2345,"MÚRCIA, DE                    ",2,1,54
2350,"MURILLO, DE                   ",4,0,163
2355,"MOSTEROL, DE                  ",1,1,14
2360,"TREBALL, DEL                  ",2,1,243
2361,"NALÓN, DEL                    ",3,2,18
2362,"NARCÍS OLLER, DE              ",3,2,27
2363,"NARCÍS, DEL                   ",3,2,15
2370,"NAVAS DE TOLOSA, DE LAS       ",3,0,210
2375,"NAVIA, DEL                    ",6,1,13
2376,"NEPTÚ, DE                     ",3,0,89
2380,"NERBION, DEL                  ",6,1,74
2381,"NEWTON, DE                    ",4,2,12
