DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,2,"EQUADOR, L                    ", ,Home,6
2011,2,ESLOVÈNIA                     , ,Home,1
2011,2,ESPANYA                       , ,Dona,321
2011,2,ESPANYA                       , ,Home,352
2011,2,ESPANYA                       ,ALACANT,Dona,2
2011,2,ESPANYA                       ,ALACANT,Home,4
2011,2,ESPANYA                       ,ALMERIA,Dona,4
2011,2,ESPANYA                       ,ALMERIA,Home,4
2011,2,ESPANYA                       ,ASTURIAS,Home,1
2011,2,ESPANYA                       ,BADAJOZ,Dona,1
2011,2,ESPANYA                       ,BARCELONA,Dona,233
2011,2,ESPANYA                       ,BARCELONA,Home,245
2011,2,ESPANYA                       ,BISCAIA,Home,2
2011,2,ESPANYA                       ,CADIS,Dona,4
2011,2,ESPANYA                       ,CADIS,Home,2
2011,2,ESPANYA                       ,CASTELLO,Dona,3
2011,2,ESPANYA                       ,CASTELLO,Home,7
2011,2,ESPANYA                       ,CONCA,Dona,1
2011,2,ESPANYA                       ,CORDOBA,Dona,1
2011,2,ESPANYA                       ,CORDOBA,Home,2
2011,2,ESPANYA                       ,"CORUNYA, LA",Home,2
2011,2,ESPANYA                       ,GIRONA,Dona,14
2011,2,ESPANYA                       ,GIRONA,Home,16
2011,2,ESPANYA                       ,GRANADA,Home,1
2011,2,ESPANYA                       ,GUIPUSCOA,Dona,2
2011,2,ESPANYA                       ,HUELVA,Dona,1
2011,2,ESPANYA                       ,ILLES BALEARS,Dona,6
2011,2,ESPANYA                       ,ILLES BALEARS,Home,6
2011,2,ESPANYA                       ,JAEN,Dona,3
2011,2,ESPANYA                       ,JAEN,Home,2
2011,2,ESPANYA                       ,LUGO,Home,1
2011,2,ESPANYA                       ,LLEIDA,Dona,3
2011,2,ESPANYA                       ,LLEIDA,Home,7
2011,2,ESPANYA                       ,LLEO,Home,1
2011,2,ESPANYA                       ,MADRID,Dona,7
2011,2,ESPANYA                       ,MADRID,Home,5
2011,2,ESPANYA                       ,MALAGA,Dona,2
2011,2,ESPANYA                       ,MALAGA,Home,2
2011,2,ESPANYA                       ,MELILLA,Home,1
2011,2,ESPANYA                       ,MURCIA,Dona,1
2011,2,ESPANYA                       ,MURCIA,Home,4
2011,2,ESPANYA                       ,NAVARRA,Dona,1
2011,2,ESPANYA                       ,OSCA,Home,1
2011,2,ESPANYA                       ,PALENCIA,Dona,1
2011,2,ESPANYA                       ,"PALMAS, LAS",Dona,5
2011,2,ESPANYA                       ,"PALMAS, LAS",Home,5
2011,2,ESPANYA                       ,SALAMANCA,Dona,1
2011,2,ESPANYA                       ,SALAMANCA,Home,1
2011,2,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Dona,1
2011,2,ESPANYA                       ,SARAGOSSA,Dona,3
2011,2,ESPANYA                       ,SARAGOSSA,Home,1
2011,2,ESPANYA                       ,SEVILLA,Dona,2
2011,2,ESPANYA                       ,SEVILLA,Home,5
2011,2,ESPANYA                       ,SORIA,Home,1
2011,2,ESPANYA                       ,TARRAGONA,Dona,14
2011,2,ESPANYA                       ,TARRAGONA,Home,16
2011,2,ESPANYA                       ,VALENCIA,Dona,5
2011,2,ESPANYA                       ,VALENCIA,Home,7
