CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-04010;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-04010;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;4
S-04011;BLANCS;BLANCS;1
S-04011;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;114
S-04011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;129
S-04011;CUP    ;CANDIDATURA D UNITAT POPULAR            ;23
S-04011;JxSí;JUNTS PEL SÍ;92
S-04011;NULS;NULS;0
S-04011;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-04011;PP      ;PARTIDO POPULAR                         ;60
S-04011;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;151
S-04011;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-04011;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;9
S-04012;BLANCS;BLANCS;7
S-04012;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;117
S-04012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;152
S-04012;CUP    ;CANDIDATURA D UNITAT POPULAR            ;27
S-04012;JxSí;JUNTS PEL SÍ;118
S-04012;NULS;NULS;2
S-04012;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;7
S-04012;PP      ;PARTIDO POPULAR                         ;63
S-04012;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;216
S-04012;RECORTES 0-EV;RECORTES CERO-ELS VERDS;2
S-04012;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;11
S-04013;BLANCS;BLANCS;4
S-04013;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;156
S-04013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;237
S-04013;CUP    ;CANDIDATURA D UNITAT POPULAR            ;53
S-04013;JxSí;JUNTS PEL SÍ;147
S-04013;NULS;NULS;1
S-04013;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-04013;PP      ;PARTIDO POPULAR                         ;78
S-04013;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;244
S-04013;RECORTES 0-EV;RECORTES CERO-ELS VERDS;6
S-04013;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;5
S-04014;BLANCS;BLANCS;2
S-04014;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;108
S-04014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;150
S-04014;CUP    ;CANDIDATURA D UNITAT POPULAR            ;32
S-04014;JxSí;JUNTS PEL SÍ;115
