dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3609,2017-10-31T15:12:13Z,parking,43.463096,-3.798491,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3609.csv
3780,2017-10-31T15:11:31Z,parking,43.4642,-3.799783,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3780.csv
3850,2017-10-31T15:11:26Z,parking,43.464051,-3.79701,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3850.csv
3720,2017-10-31T15:05:41Z,parking,43.462505,-3.800259,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3720.csv
3635,2017-10-31T15:01:43Z,parking,43.463146,-3.800925,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3635.csv
3634,2017-10-31T15:01:37Z,parking,43.46314,-3.800989,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3634.csv
3789,2017-10-31T15:00:46Z,parking,43.463671,-3.799684,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3789.csv
3873,2017-10-31T15:00:23Z,parking,43.464655,-3.797071,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3873.csv
3626,2017-10-31T14:55:42Z,parking,43.463062,-3.801823,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3626.csv
3781,2017-10-31T14:53:33Z,parking,43.46416,-3.799778,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3781.csv
3706,2017-10-31T14:53:17Z,parking,43.462588,-3.800736,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3706.csv
3705,2017-10-31T14:39:16Z,parking,43.462627,-3.800746,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3705.csv
3619,2017-10-31T14:37:30Z,parking,43.463018,-3.802238,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3619.csv
3761,2017-10-31T14:34:24Z,parking,43.463276,-3.798355,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3761.csv
3614,2017-10-31T14:30:22Z,parking,43.462918,-3.803268,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3614.csv
