"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Gasoil_biomassa";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"HABITATGE MUNICIPAL CAN COLOMER";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"HOTEL INFORM";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"L'ESTACIÓ ESPAI JOVE";"oficina";"587";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL PONT MAJOR 65";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL SOCIAL GRUP SANT DANIEL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL SOCIAL DE MONTJUÏC";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL SOCIAL MONTILIVI";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL SOCIAL SANT DANIEL";"oficina";"95";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LOCAL SOCIAL DE LA TORRASSA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"OFICINA MUNICIPAL HABITATGE";"oficina";"185";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PUNT DE LECTURA TORRE GIRONELLA";"cultural";"56";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"POLICIA MUNICIPAL";"oficina";"1.032";"";"18.029";"16.128";"12.687";"2.682";"2.771";"2.682";"2.771";"2.771";"2.682";"2.771";"21.086";"23.687";"1.656";"1.473";"1.156";"187";"193";"187";"193";"193";"187";"193";"1.373";"1.477"
"Gasoil_biomassa";"SERVEI MUNICIPAL D'OCUPACIÓ";"oficina";"1.545";"";"1.223";"1.105";"1.356";"1.968";"2.034";"1.968";"2.034";"2.034";"1.968";"2.034";"1.968";"8.316";"111";"101";"117";"137";"142";"137";"142";"142";"137";"142";"137";"489"
"Gasoil_biomassa";"PROMOCIÓ DE LA SALUT";"oficina";"225";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"OFICINA MERCAT AMBULANT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"MERCAGIRONA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"MERCAT LLEÓ";"oficina";"1.829";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"OFICINA PLA DE BARRIS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PUNT DE BENVINGUDA";"oficina";"54";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"SALA FIDEL AGUILAR";"oficina";"227";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"OFICINA DE TURISME";"oficina";"176";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"VIVERS HORTES SANTA EUGÈNIA";"altres";"352";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REPETIDOR TORRE ALFONS XII";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REPETIDOR TV PUIGVISTÓS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ASCENSOR PUJADA SANT MARTÍ";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"BRIGADES OBRES";"altres";"302";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"MAGATZEM REIS MAGS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CASTELL MONTJUÏC";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CEMENTIRI";"altres";"75";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CEMENTIRI DE SANTA EUGÈNIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CIRC FIRES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"COMPORTES MARFÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"DIPÒSIT ZONA SANT DANIEL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESTACIÓ CONTAMINAC.ATMOSFERICA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"FONT DEL FERRO";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"FONT PAÏSOS CATALANS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"GRUP DE PRESSIÓ DE GERMANS SÀBAT";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"JARDINS DELS ALEMANYS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"MOTORS JARDINS DEVESA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CASETA JARDINERS PEDRET";"altres";"15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PARC CENTRAL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PARC DEL MIGDIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REG JARDÍ DEL DOCTOR FIGUERAS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REG MAS MASÓ";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REG UNIVERSITAT ÀLIGUES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"REIXA SÈQUIA MONAR MARISTES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC VARIS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC CARME";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC CARPES DEVESA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC DOMENY";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC PLAÇA INDEPENDÈNCIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC PERE CALDERS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"WC PLAÇA SANTA EUGÈNIA";"altres";"14";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"EBAR CAMPDORÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"EBAR CREUETA";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"EBAR PARADOR GÜELL";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"EBAR MARFÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"EBAR NESTLE";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"POU MONTSERRAT";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"SEPARADOR HIDROCARBURS DOMENY";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"AUDITORI";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"BIBLIOTECA TAIALÀ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PATRONAT CALL GIRONA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"BIBLIOTECA ANTÒNIA ADROHER";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CINEMA TRUFFAUT - RÀDIO";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"GUINGUETA FONTAJAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PLAÇA JURATS";"cultural";"15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"MAS ABELLA";"cultural";"100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"LA MARFÀ";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"FUNDACIÓ RAFEL MASÓ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CENTRE CULTURAL LA MERCÈ";"cultural";"3.039";"";"13.050";"12.308";"20.323";"3.644";"3.765";"3.644";"3.765";"3.765";"3.644";"3.765";"7.679";"24.554";"1.183";"1.115";"1.818";"254";"262";"254";"262";"262";"254";"262";"500";"1.530"
"Gasoil_biomassa";"MUSEU D'HISTÒRIA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAPELLA DE SANT NICOLAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"TEATRE MUNICIPAL";"cultural";"800";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CEE FONT DE L'ABELLA";"educacio";"2.317";"";"4.638";"18.696";"14.943";"2.916";"3.013";"2.916";"3.013";"3.013";"3.583";"23.275";"22.524";"23.275";"414";"1.389";"1.115";"262";"271";"262";"271";"271";"307";"1.600";"1.549";"1.600"
"Gasoil_biomassa";"CEE PALAU";"educacio";"1.451";"";"0";"0";"0";"8.083";"31.323";"30.313";"0";"0";"0";"0";"0";"0";"0";"0";"0";"575";"2.228";"2.156";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA ANNEXA-JOAN PUIGBERT";"educacio";"4.330";"";"21.830";"19.717";"19.806";"9.281";"9.590";"9.281";"9.590";"9.590";"9.281";"9.590";"9.281";"9.590";"2.016";"1.821";"1.689";"662";"684";"662";"684";"684";"662";"684";"662";"684"
"Gasoil_biomassa";"ESCOLA BALANDRAU";"educacio";"300";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA CARME AUGUET";"educacio";"2.216";"";"5.262";"8.705";"14.417";"4.622";"4.776";"4.622";"4.776";"4.776";"4.622";"9.743";"10.577";"10.930";"480";"680";"1.038";"322";"333";"322";"333";"333";"322";"671";"727";"751"
"Gasoil_biomassa";"ESCOLA CASSIA COSTAL";"educacio";"2.950";"";"1.674";"1.512";"1.674";"1.620";"1.674";"1.620";"1.674";"1.674";"1.620";"16.164";"16.610";"17.164";"153";"138";"153";"148";"153";"148";"153";"153";"148";"1.114";"1.142";"1.180"
"Gasoil_biomassa";"ESCOLA DALMAU CARLES";"educacio";"2.802";"";"23.883";"19.269";"4.200";"4.064";"4.200";"4.064";"4.200";"4.200";"4.064";"4.200";"4.064";"20.578";"2.205";"1.768";"304";"294";"304";"294";"304";"304";"294";"304";"294";"1.164"
"Gasoil_biomassa";"ESCOLA DOMENY";"educacio";"2.926";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA EIXIMENIS";"educacio";"1.357";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA FONT DE LA POLVORA";"educacio";"1.859";"";"3.765";"4.243";"6.642";"6.428";"6.818";"6.843";"7.071";"7.071";"7.065";"12.373";"11.974";"12.373";"344";"350";"479";"464";"490";"487";"503";"503";"501";"851";"823";"851"
"Gasoil_biomassa";"ESCOLA JOAN BRUGUERA";"educacio";"2.102";"";"8.146";"6.397";"5.572";"5.392";"5.572";"5.392";"5.572";"5.572";"5.392";"5.572";"7.340";"11.027";"752";"548";"402";"389";"402";"389";"402";"402";"389";"402";"497";"705"
"Gasoil_biomassa";"ESCOLA MARE DE DEU DEL MONT";"educacio";"2.013";"";"3.961";"3.577";"3.961";"3.833";"3.961";"3.833";"3.961";"3.961";"3.833";"22.133";"25.638";"26.492";"366";"330";"366";"354";"366";"354";"366";"366";"354";"1.539";"1.762";"1.820"
"Gasoil_biomassa";"ESCOLA MONTFALGARS";"educacio";"2.654";"";"7.988";"7.215";"25.452";"7.914";"8.178";"7.914";"8.178";"8.178";"7.914";"8.178";"7.914";"8.178";"724";"654";"2.170";"564";"583";"564";"583";"583";"564";"583";"564";"583"
"Gasoil_biomassa";"ESCOLA MIGDIA";"educacio";"2.775";"";"6.675";"5.884";"4.228";"4.091";"4.228";"4.091";"4.228";"4.228";"4.091";"17.788";"18.118";"18.722";"637";"556";"306";"296";"306";"296";"306";"306";"296";"1.224";"1.246";"1.287"
"Gasoil_biomassa";"ESCOLA MONTJUÏC";"educacio";"1.518";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA MARTA MATA";"educacio";"3.294";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA EL BOSC DE LA PABORDIA";"educacio";"1.150";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA PERICOT";"educacio";"1.050";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA PERICOT BARRACONS";"educacio";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA PLA DE GIRONA";"educacio";"2.777";"";"53.869";"22.705";"15.277";"7.474";"7.723";"7.474";"7.723";"7.723";"7.474";"7.723";"7.474";"7.723";"4.882";"2.051";"1.295";"533";"551";"533";"551";"551";"533";"551";"533";"551"
"Gasoil_biomassa";"ESCOLA STA. EUGÈNIA";"educacio";"1.299";"";"14.361";"11.450";"4.054";"3.923";"4.054";"3.923";"4.054";"4.054";"3.923";"4.054";"3.923";"4.054";"833";"665";"235";"228";"235";"228";"235";"235";"228";"235";"228";"235"
"Gasoil_biomassa";"ESCOLA TAIALÀ";"educacio";"5.217";"";"10.730";"21.192";"30.585";"14.036";"14.504";"14.036";"14.504";"14.504";"14.036";"20.591";"24.723";"25.547";"973";"1.631";"2.329";"980";"1.012";"980";"1.012";"1.012";"980";"1.396";"1.654";"1.709"
"Gasoil_biomassa";"ESCOLA VERD";"educacio";"2.309";"";"3.832";"10.990";"19.513";"7.094";"7.331";"7.094";"7.331";"7.331";"7.094";"7.331";"7.094";"7.331";"348";"837";"1.399";"495";"512";"495";"512";"512";"495";"512";"495";"512"
"Gasoil_biomassa";"ESCOLA VILA-ROJA";"educacio";"1.369";"";"7.367";"23.607";"12.039";"1.457";"1.506";"1.457";"1.506";"1.506";"1.457";"1.506";"1.740";"10.483";"178";"571";"291";"35";"37";"35";"37";"37";"35";"37";"44";"330"
"Gasoil_biomassa";"ESCOLA BRESSOL LA BALDUFA";"educacio";"744";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA BRESSOL LA DEVESA";"educacio";"730";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA BRESSOL GARBÍ";"educacio";"630";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA BRESSOL L'OLIVERA";"educacio";"907";"18.000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"ESCOLA BRESSOL EL TREN";"educacio";"710";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL DE CAN GIBERT";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL DE FONTAJAU";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL GERMANS SÀBAT";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL DE MONTILIVI";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL DE PONT MAJOR";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL TORRES DE PALAU";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"CAMP DE FUTBOL DE VILAROJA";"esportiu";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PAVELLÓ  DE FONTAJAU";"esportiu";"17.439";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_biomassa";"PAVELLÓ MONTFALGARS";"esportiu";"";"";"7.672";"8.674";"10.300";"2.599";"2.685";"2.599";"2.685";"2.789";"3.481";"3.597";"3.481";"3.597";"445";"504";"598";"151";"156";"151";"156";"162";"202";"209";"202";"209"
"Gasoil_biomassa";"PAVELLÓ DE PALAU";"esportiu";"180";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
