CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"juan XXIII nº 22","16/07/2015","","17/07/2015"
"farmaceutico pedro rivero esquina joaquin belon","13/07/2015","","14/07/2015"
"venezuela 34","17/07/2015","8 a 20","18/07/2015"
"venezuela 34","17/07/2015","08 a 20","18/07/2015"
"los martinez de escobar 3","17/07/2015","08 a 20","18/07/2015"
"los martinez de escobar 3","17/07/2015","08 a 20","18/07/2015"
"lomo cuesta blanca 44-54","17/07/2015","08 a 20","18/07/2015"
"lomo cuesta blanca 44 - 54","17/07/2015","08 a 20","18/07/2015"
"GRUPO 76 VIVIENDAS. URB. FLOR SIRERA Y CALLE LUIS SUAREZ SUAREZ","13/07/2015","","31/07/2015"
"LUIS SUAREZ SURAEZ 103","13/07/2015","24",""
"PINTOR PEPE DAMASO  55","15/07/2015","08 A 18","15/07/2015"
"MALAGA PLAZA DE BENALMADENA ED. DE LOS JUZGADOS","14/07/2015","08 A 20",""
"NICOLAS ESTEVANEZ ENTRE PARQUE SANTA CATALINA Y SIMON BOLIVAR","14/07/2015","07 A 17","15/07/2015"
"CONCEPCION ARENAL 20","16/07/2015","","16/07/2015"
"RAFAEL RAFAEL Y  27","13/07/2015","08 A 18","21/08/2015"
"ESTANQUE DE LA PALMA 37","16/07/2015","08 A 20","17/07/2015"
"CARRETERA DE MATA 6","13/07/2015","08 A 18",""
"PEDRO QUINTANA 2","13/07/2015","24 HORAS",""
"ALMANSA 11","20/07/2015","",""
"DOCTOR JUAN DOMINGUEZ PEREZ 91","13/07/2015","08 A 20",""
"PARROCO JORGE CASERO 2","15/07/2015","08 A 18",""
"FRANCISCO GOURIE 65","13/07/2015","","14/07/2015"
"SARGENTO LLAGAS 35","13/07/2015","08 A  12","21/07/2015"
"COLMENARES CON PEROJO 19","13/07/2015","24 HORAS","16/07/2015"
"MOLINO DE VIENTO 84 CON CARVAJAL 86","15/07/2015","",""
"VARIAS CALLES","10/07/2015","8-20","10/07/2015"
"claveles 1","13/07/2015","24","15/07/2015"
"mayor de triana","20/07/2015","8/12",""
"carvajal 1","15/07/2015","24",""
"castillejos 41","15/07/2015","8/18",""
"varias, según cuadro adjunto","14/07/2015","8/18",""
"covadonga 17","14/07/2015","24",""
"antonio maria manrique 11/13/15","14/07/2015","8/18",""
"plaza faray junipero a la altura de bernardo de la torre","25/07/2015","8/18","14/07/2015"
"termino municipal de las palmas","13/07/2015","normal",""
"san borondon 39","16/07/2015","8  18",""
"LOS NARANJOS 46","17/07/2015","8 A 18","17/07/2015"
"HEBRON 42","15/07/2015","8 A 17","16/07/2015"
"PASEO DE SAN JOSE 148","16/07/2015","8 A 20","16/07/2015"
"LUIS DORESTE SILVA 18","18/07/2015","8 A 20","18/07/2015"
"DOCTOR JUAN MEDINA NEBOT RESRVADO ESTACIONAMIENTO","18/07/2015","8 A 20","19/07/2015"
"FEDERICO GARCIA LORCA, 19","16/07/2015","8-20",""
"PASEO DE LAS CANTERAS, 21","15/07/2015","8-20","15/07/2015"
"CALLE MAYOR DE TRIANA, 106","15/07/2015","8-20","15/07/2015"
"MARI SANCHEZ, 29","16/07/2015","8-20","16/07/2015"
"paseo de chil 109","15/07/2015","10/18",""
"sargento llagas 36","16/07/2015","",""
"eusebio navarro  35con murga 40","20/07/2015","",""
"andamana 79 con alcorac","20/07/2015","24 horas","07/08/2015"
"cirilo moreno 52","20/07/2015","24 horas",""
"uruguay 15","20/07/2015","24 horas",""
"diferentes de la ciudad","15/07/2015","","15/07/2015"
"costa rica 14","20/07/2015","08 a 20","20/07/2015"
"duodecima 1 esquina bentagache 18","20/07/2015","08 a 20","25/07/2015"
"paseo de los martires 25","18/07/2015","08 a 20","19/07/2015"
"doctor juan medina nebot  4-6","25/07/2015","08 a 20","26/07/2015"
"los martines de escobar 1º (46-48-50), 2º (51-53-55-57)","17/07/2015","8-18",""
"lujan perez, 36","20/07/2015","8-18",""
"residencial flor sirera desde el portal 7 hasta portal 4","17/07/2015","",""
"padre ancheta con teniente coronel olivares o viceversa","20/07/2015","","26/07/2015"
"barcelona 39","20/07/2015","24 horas","21/07/2015"
"avda. pintor felo monzón nº 37","20/07/2015","24 horas",""
"salamanca nº 11","20/07/2015","",""
"MOLINO DE VIERNTO 84/86 ESQUI. CARVAJAL","17/07/2015","24",""
"capitan lucena 1","20/07/2015","8/18","21/07/2015"
"carvajal - leon y castillo junto granier","17/07/2015","15 a 18","17/07/2015"
"obispo romo altura de central telefonica altavista","17/07/2015","15-20",""
"duodecima 1 con bentagache 18","20/07/2015","8 a 20","25/07/2015"
"secreario padilla 143","20/07/2015","24 horas","23/07/2015"
"general vives 62","22/07/2015","8 a 20","23/07/2015"
"benecharo 54","27/07/2015","8 a 20","28/07/2015"
"obispo rabadan nº 10","20/07/2015","8-18",""
"luis morote 14","20/07/2015","8/12",""
"residencial flor sirera portal 4 con crta. Lomo blanco ( la majadilla)","21/07/2015","24",""
"pedro infinito 175","20/07/2015","8/18",""
"hinojo , 3","21/07/2015","24",""
"malteses 1","27/07/2015","24",""
"mayor de triana 33","21/07/2015","24",""
"avd. jose mesa y lopez 77","20/07/2015","24",""
"juan manuel duran gonzalez 22","21/07/2015","24","22/07/2015"
"anzofe 48","22/07/2015","8/18","22/07/2015"
"termino municipal de las palmas","20/07/2015","normal",""
"carmen quintana 75","23/07/2015","24",""
"leon y castillo  23","22/07/2015","8-20",""
"leon y castillo  23","22/07/2015","24",""
"arena 7","27/07/2015","24","31/07/2015"
"zonas peatonales termino municipal","21/07/2015","n/c",""
"avda pintor felo monzon entre la rottonda de lomo la plana hoya de la gallina","24/07/2015","8-20",""
"termino municipal de las palmas","21/07/2015","normal","21/07/2015"
"arena 9","23/07/2015","24",""
"teniente coronel castillo frente al 43","22/07/2015","8-20",""
"teniente coronel castillo olivares  frente 43","23/07/2015","24",""
"rafael cabrwera 2 estacion guaguas frente teatro perez galdos","27/07/2015","8-20",""
"avda rafael cabrera estacion de guaguas de san telmo s/n","27/07/2015","24",""
"santa teresa  9","23/07/2015","8-18",""
"avda principe de asturias c. c las arenas","23/07/2015","24",""
"concejal garcia feo luis benitez inglot","22/07/2015","7,30-20,00 22-6,00",""
"plaza de canarias t. m las palmas islas canarias","22/07/2015","7,30-20,00 22-6,00",""
"varias calles","22/07/2015","8-20","22/07/2015"
"mendizabal  17","28/07/2015","8-18",""
"sagasta  100","22/07/2015","8-18",""
"paseo  de tomas morales  61","24/07/2015","8-18",""
"camino casa ayala, 3","27/07/2015","24",""
"salamanca 124","24/07/2015","8/18",""
"pintor pepe damaso 32","28/07/2015","8/18",""
"termino municipal","23/07/2015","normal",""
"pedro de vera, 11","28/07/2015","",""
"luis doreste silva, 56","24/07/2015","8-18","24/07/2015"
"galicia 27","04/08/2015","08 a 20","05/08/2015"
"galicia 27","04/08/2015","24","05/08/2015"
"antigua autovia del sur, carretera acceso  a plya de la laja","29/07/2015","24",""
"varias calles","27/07/2015","",""
"diferentes de la ciudad","","24",""
"diferentes de la ciudad","24/07/2015","08 a 15","24/07/2015"
"portugal, 43","","8-20","27/07/2015"
"mayor de triana, 95","27/07/2015","8-12",""
"lugarejo s/n","29/07/2015","24 horas","30/07/2015"
"edoctor juan dominguez perez  35","28/07/2015","24",""
"fondos del segura frente 3 y 7","30/07/2015","08 a 18","04/08/2015"
"zona peatonal calle san nicolas  24","27/07/2015","8-19","27/07/2015"
"reyes catolicos  43","29/07/2015","8-18","29/07/2015"
"cano  6","29/07/2015","24","31/07/2015"
"malteses  15","03/08/2015","24",""
"vqarias calles","27/07/2015","8-20","27/07/2015"
"espartero  1 simancas o viceversa","29/07/2015","8-20","31/07/2015"
"palma de mallorca  7","27/07/2015","8-20",""
"alonso ojeda prudencio morales","31/07/2015","18-20","31/07/2015"
"panama  53","28/07/2015","24",""
"federico garcia lorca, 19","30/07/2015","8-20","30/07/2015"
"camilo saint saens, 15","29/07/2015","",""
"la naval, 154","30/07/2015","24","31/07/2015"
"doctor marañon, s/n","29/07/2015","8-18","29/07/2015"
"secretario padilla, 73","30/07/2015","24","13/08/2015"
"travieso, 11","28/07/2015","8-20",""
"colon, 12 con herreria","28/07/2015","8-20",""
"cano, 4","28/07/2015","8-20","28/07/2015"
"natan, 5","03/08/2015","24",""
"diferentes lugares de la ciudad","","",""
"doctor jose ponce arias 11","30/07/2015","8 a 16","30/07/2015"
"varias calles","28/07/2015","8-20",""
"paseo de san jose102 y 106","30/07/2015","24",""
"plazoleta de peron, 7","29/07/2015","8-20","29/07/2015"
"carvajal,con leon y casrtillo o viceversa","29/07/2015","8-20",""
"avd. rafael cabrera 2","01/08/2015","24","02/08/2015"
"avd. alcalde diaz saavedra navarro 7","30/07/2015","8/18","30/07/2015"
"coronel rocha 39","03/08/2015","8/18","03/08/2015"
"plaza san antonio abab","01/08/2015","12:30 15:00","01/08/2015"
"hernan perez de grado  18","03/08/2015","24","17/08/2015"
"viera y clavijo  3-5","03/08/2015","24",""
"perezdel toro 1º 46 2º 67 al 73","03/08/2015","8-20",""
"varias calles","29/07/2015","8-20","29/07/2015"
"sagunto, 3","31/07/2015","8-12",""
"avd. jose mesa y lopez, 10","30/07/2015","8-18","30/07/2015"
"travieso, 1","31/07/2015","",""
"albareda, 33","31/07/2015","8-18",""
"folias esquina tajaraste 25","30/07/2015","24 horas",""
"varias calles","30/07/2015","8-20","30/07/2015"
"juan XXIII 1-3","04/08/2015","8-20",""
"el cid  27","04/08/2015","8-20",""
"dr. Grau  bassas - obispo herrera, 3","03/08/2015","24","09/08/2015"
"betel-cafarnaun, 40","03/08/2015","",""
"perez del toro 59","31/07/2015","10,30-18,30","31/07/2015"
"tanausu entre fontanales y anzofe","03/09/2015","8-19",""
"graciliano afonso  7","03/08/2015","24",""
"ripoche  8","05/08/2015","8-18",""
"varias calles","31/07/2015","8-20","31/07/2015"
"martin de escalante  2","03/08/2015","8-18",""
"paseo de las canteras, 60","04/08/2015","24","09/08/2015"
"PASEO DE LAS CANTERAS, 60","10/08/2015","24","13/08/2015"
"pedro de vera 7","06/08/2015","24h",""
"avd, federico garcia lorca 9","05/08/2015","8/18","05/08/2015"
"blasco ibañez, 7","05/08/2015","24",""
"blasco ibañez, 7","06/08/2015","24",""
"cuartel general de la armada","11/08/2015","8-18",""
"Emalsa(varios)","04/08/2015","",""
"peru nº66","05/08/2015","24h",""
"BILBAO 4","10/08/2015","8/18","10/08/2015"
"AVD. DE ESCALERITAS 169","05/08/2015","24",""
"TERMINIO MUNICIPAL DE LAS PALMAS","05/08/2015","NORMAL","05/08/2015"
"MUELLE LAS PALMAS 2","09/08/2015","8/18",""
"AVDA PINTOR FELO MONZON  3","06/08/2015","8-20",""
"BRUNO NARANJO DIAZ 1º -12 2º FACAHDA COLEGIO SAKLVADOR MANRIQUE DE LARA","10/08/2015","24",""
"GENERAL BRAVO 23","06/08/2015","8-18","06/08/2015"
"MAYOR DE TRIANA  27","07/08/2015","8-18","07/08/2015"
"luis doreste silva, 83","07/08/2015","",""
"olof palme, 49","07/08/2015","",""
"acceso de via publuica y zonas peatonales del termino municipal de las palmas","06/08/2015","",""
"otoño  21","17/08/2015","24","21/08/2015"
"varias calles","06/08/2015","8-20",""
"doctor grau bassas  56","11/08/2015","8-18",""
"lepanto  39","06/08/2015","24",""
"molino de viento  62","10/08/2015","24",""
"leon y castillo, 282","10/08/2015","",""
"federico de leon, 4","11/08/2015","",""
"california  19","12/08/2015","8-18",""
"ingeniero salinas  28","10/08/2015","8-20",""
" parqu de  santa catalina museo elder","17/08/2015","8-18",""
"varias calles","07/08/2015","8-20","07/08/2015"
"lujan perez  43","07/08/2015","8-20",""
"republica dominicana  21","11/08/2015","8-20",""
"viriato  9","11/08/2015","8-20",""
"domingo j. navarro   10","10/08/2015","24",""
"eusebio navarro 35 con murga 40 y viceversa","08/08/2015","24",""
"gloria 12 con leon roch o viceversa","03/09/2015","8-19",""
"doctor jimenez neyra  altura escuela infantil blanca nieve","28/08/2015","8-19",""
"juan fontan 27 al 15","21/08/2015","8-19",""
"juan fontan  43 al 33","21/08/2015","8-19",""
"rafael mesa y lopez  3-29","20/08/2015","8-19",""
"rosarito, 26","14/08/2015","8-20",""
"DOCTOR GRAU BASSAS, 52","10/08/2015","",""
"ALCALDE NICOLAS DIAZ SAAVEDRA 2","29/07/2015","8-20",""
"AVDA ALCALDE DIAZ SAAVEDRA NAVARRO 2","14/08/2015","8-20",""
"DR SVENTENIUS ENTRE MAGISTRADO MARRERO  PRINCESA BENHORA","10/08/2015","8-20",""
"DOCTOR EVENTENIUS CON MAGISTRADO MARRERO O VICEVERSA","10/08/2015","8-20",""
"AVDA ALCALDE DIAZ SAAVEDRA NAVARRO  7","14/08/2015","8-20","14/08/2015"
"BALS CABRERA FELIPE FISICO JUNTO PARKING DEL MATERNO","13/08/2015","8-20","14/08/2015"
"PASEO FISICO BLAS CABRERA FELIPE CON SABINO BETERLOT O VICEVERSA","13/08/2015","8-20",""
"SALAMANCA  124-126","10/08/2015","8-20",""
"VARIAS CALLES","10/08/2015","8-20",""
"DR JUAN DOMINGUEZ PEREZ  91","12/08/2015","8-20",""
"presidente alvear, 48","13/08/2015","",""
"playa de la laja hasta  torre de viento","11/08/2015","variado",""
"adargoma 28  y hasta esq acero y acero adargoma","12/08/2015","24",""
"obispo codina 2","12/08/2015","8-18",""
"varias calles","11/08/2015","8-20","11/08/2015"
"manzana de portugal-olof palme-secretario padillo","12/08/2015","",""
"los gofiones,51/tenerife","13/08/2015","8-18",""
"olof palme, 4","14/08/2015","",""
"doctor juan de padilla  4","13/08/2015","8-18","13/08/2015"
"bernardino correa viera  13","13/08/2015","8-18","13/08/2015"
"luis morote  a  la altura  eduardo benot","18/08/2015","8-12",""
"varias calles","12/08/2015","8-20","12/08/2015"
"bravo murillo con vcenagas","17/08/2015","22-6,00",""
"velarde esq. Fernando guanartme","17/08/2015","8-20",""
"sagastas  90","14/08/2015","8-18",""
"plaza  de ramon franco reserva oficial","18/08/2015","8-18","18/08/2015"
"varias calles","13/08/2015","8-20","13/08/2015"
"mariucha 114","17/08/2015","24",""
"avda de escaleritas  111","17/08/2015","24",""
"colmenares trasera de hotel parque","17/08/2015","24",""
"doctor miguel rosas  12-14","17/08/2015","8-18",""
"avda de escaleritas  111","17/08/2015","8-18",""
"mariucha 102","17/08/2015","24",""
"parque chona madera  s/n","20/08/2015","24",""
"betel- cafarnaun o viceversa  40","17/08/2015","24",""
"estribor frente  7-9","17/08/2015","8-18",""
"jose franchy roca  53","14/08/2015","8-18",""
"carvajal con leon y castillo o viceversa","14/08/2015","",""
"muelle las palmas retranqueo hotel parque","17/08/2015","8-18","17/08/2015"
"san borondon  31","18/08/2015","24","24/08/2015"
"cruz del ovejero  8","24/08/2015","24","30/08/2015"
"lujan perez parada de guaguas  20","17/08/2015","8-18",""
"luis morote  61","24/08/2015","24",""
"nicolas estevanez 33","17/08/2015","8-20",""
"secretario artiles  55","24/08/2015","8-20",""
"agata  19","31/08/2015","8-20",""
"varias calles","14/08/2015","8-20",""
"faro  71","22/08/2015","8-20",""
"parraco villar reina y parraco matias artiles","17/08/2015","8-20",""
"presidente alvear  13","15/08/2015","8-20",""
"albareda, 82","","",""
"arco 49 frente al 49","17/08/2015","",""
"reyes catolicos frente al 48","19/08/2015","",""
"simancas, 93","18/08/2015","8-20",""
"pelayo    hotel hastoria","19/08/2015","24 horas","02/09/2015"
"lujan perez 20","17/08/2015","24 horas",""
"agustin millares carlo 20","17/08/2015","24 horas",""
"colmenares frente 16","21/08/2015","08 a 20",""
"leon y castillo  320 y simon bolivar 1","25/08/2015","24","28/08/2015"
"avda. escaleritas  114","19/08/2015","08 a 20","19/08/2015"
"presidente  alvear barcelona prolongacion leon y castillo","18/08/2015","22-6,00","20/08/2015"
"avda de rafael cabrera  3","19/08/2015","22-6,00",""
"zaragoza  21","25/08/2015","24",""
"alfred nobel  27","21/08/2015","8-18",""
"diferentes calles de la ciudad","18/08/2015","08 a 15","18/08/2015"
"diferentes de la ciudad","17/08/2015","08 a 15","17/08/2015"
"carretera de mata  6","19/08/2015","8-18",""
"doctor juan de padilla con san bernardo,22","24/08/2015","8-20",""
"AVDA JOSE MESA Y LOPEZ 43","20/08/2015","08 A 20","20/08/2015"
"PARROCO VILLAR REINA Y PARROCO MATIAS ARTILES","17/08/2015","08 A 20","31/08/2015"
"ALBAREDA 82","22/08/2015","24","10/09/2015"
"ALBAREDA 82","22/08/2015","24","10/09/2015"
"DIFERENTES DE LA CIUDAD","19/08/2015","08 A 18","19/08/2015"
"ALBAREDA 82","23/08/2015","08 A 20",""
"VENEGAS 4","21/08/2015","08 A 18","21/08/2015"
"DOCTOR JUAN DE PADILLA 4","21/08/2015","08 A 18","21/08/2015"
"LEON Y CASTILLO ESQUINA BARCELONA","19/08/2015","08 A 20","19/08/2015"
"BATALLA DE BRUNETE 110","21/08/2015","08 A 20",""
"PARROCO JOSE CASTOR QUINTANA SANCHEZ 28","22/08/2015","08 A 20","25/08/2015"
"FEDERICO GARCIA LORCA, 2","21/08/2015","8-20","21/08/2015"
"varias calles","20/08/2015","8-20","20/08/2015"
"almansa 51","24/08/2015","08 a 20","24/08/2015"
"capitan eliseo lopez orduña,14","21/08/2015","8-20",""
"varias calles","21/08/2015","8-20",""
"zuloaga rafael rafaeli joaquin mir lezcano ctra de marzagan","26/08/2015","24",""
"travieso","24/08/2015","8-18",""
"sierra nevada  44","24/08/2015","8-18",""
"avda alcalde ramirez bethencourt zona peatonal","25/08/2015","8-18",""
"ssan cristobal de la laguna 1º 180 2º 179-181","24/08/2015","24",""
"franchy roca  35-44","25/08/2015","8-20",""
"luis antunez 44","01/09/2015","8-20",""
"buenos aires (reserva p.m.r),7","24/08/2015","",""
"DOCTOR JOSE JUAM MEGIAS  5","26/08/2015","24",""
"VARIAS CALLES","24/08/2015","8-20",""
"palmar entre majadillas y benecharo,60","27/08/2015","",""
"albert einstein, 10","26/08/2015","24","27/08/2015"
"cirilo moreno, 52","27/08/2015","",""
"cirilo moreno, 35 al 39","28/08/2015","",""
"juan rodriguez doreste","","",""
"varias calles","25/08/2015","8-20","25/08/2015"
"carretera de tafira alta pk 0,000 con gc 110","25/08/2015","7,30-20,00 22,00-6,00",""
"blasco ibañez  27","31/08/2015","24",""
"plaza de la libertad  s/n","27/08/2015","8-20",""
"zonas peatonales termino municipal","26/08/2015","24",""
"varias calles","26/08/2015","8-20",""
"san valentin  6","03/09/2015","8-20",""
"senador castillo olivares esq. Paseo tomas morales","27/08/2015","8-20",""
"diego betancor suarez  38-40","28/08/2015","8-20",""
"san cristobal de la laguna 91","02/09/2015","8-20",""
"luis doreste silva, 105","27/08/2015","",""
"plazoleta emilio ley (piscina julio navarro) s/n","31/08/2015","",""
"varias calles","27/08/2015","8-20",""
"avda de ansite  3","02/09/2015","8-18",""
"paseo de las canteras  entre pizarro y california","27/08/2015","8-19",""
"paseo de san jose  28","28/08/2015","8-18",""
"la naval, 38","28/08/2015","",""
"sor mercedes, 10 con abraham lincoln o viceversa","28/09/2015","24",""
"wagner frente  7","01/09/2015","8-18",""
"doctor juan de padilla  52","31/08/2015","8-18",""
"barranquillo del zurbaran  11","31/08/2015","24",""
"ruiz de alda 24 con 29 de abril","04/09/2015","",""
"varias calles","28/08/2015","8-20","28/08/2015"
"alonso ojeda prudencio morales","29/08/2015","18-20","29/08/2015"
"viera y clavijo  1 san bernardo o viceversa","30/08/2015","8-20",""
"avda de jose mesa y lopez juan manuel duran gonzalez presidentealvear","29/08/2015","8-20","30/08/2015"
"presidente alvear con juan manuel duran gonzalez","29/08/2015","8-20",""
"san andres1º del 46 al 52 2º del 41 al 43","02/09/2015","8 a 18","02/09/2015"
"murga 57 con paseo tomas morales o viceversa","04/09/2015","8 a 16","04/09/2015"
"paseo de tomas morales 40 con murga o viceversa","04/09/2015","8 a 16","04/09/2015"
"blaco ibañez 6","02/09/2015","8 a 16","02/09/2015"
"simon bolivar 3","31/08/2015","08 a 20",""
"schubert 15","02/09/2015","24 horas","11/10/2015"
"pablo penaguilas 110","02/09/2015","",""
"pablo penaguilas 110","02/09/2015","24 horas","22/09/2015"
"olof palme, 2","03/09/2015","",""
"lujan perez, 70","03/09/2015","",""
"caleta,10","01/09/2015","8-18",""
"caleta, 10","07/10/2015","8-18",""
"italia 38","09/09/2015","",""
"doctor juan dominguez perez 21","02/09/2015","8 a 19",""
"avd. escaleritas sentido bajada antes del cruce con paseo de chil","04/09/2015","","07/09/2015"
"parque romano, luis doreste silva, carvajal, altura fuente luminosa","20/09/2015","22 a 6","18/11/2015"
"varias","03/09/2015","7 a 22","02/10/2015"
"parroco jose quintana","24/09/2015","7 a 15","23/10/2015"
"venegas 45","04/09/2015","8 a 17","04/09/2015"
"avenida jose mesay lopez 11 con general vives 1 al 5","02/09/2015","24 horas","11/10/2015"
"chaflan situadoentre avd. jose mesa y lopez11 general vives 1 al 5","02/09/2015","8 a 20",""
"olof palme entre secretario padilla y portugal","03/09/2015","8-12",""
"utiaca 23","02/09/2015","24 horas",""
"italia 29-31","07/09/2015","24 horas","16/09/2015"
"manuel de falla 48","04/09/2015","8 a 15","04/09/2015"
"viera y clavijo 20","12/09/2015","","14/10/2015"
"paseo de las canteras 32","07/09/2015","24 horas","06/10/2015"
"1º jorde 2º zona enfrente junto al parque romano","04/09/2015","",""
"doña perfecta 73","04/09/2015","9 a 18","04/09/2015"
"avenida 1º de mayo 20-22","10/09/2015","24 horas",""
"adargoma,28","02/09/2015","24",""
"bernardo de la torre, 38","04/09/2015","24",""
"cebrian, 38","02/10/2015","24",""
"cebrian, 38","14/09/2015","24",""
"buenos aires viera y clavijo 15","07/09/2015","24 horas","06/10/2015"
"carretera del lomo blanco 40-42","09/09/2015","24 horas","18/09/2015"
"parroco jorge casero 2","07/09/2015","08 a 20",""
"cadiz 1-3","09/09/2015","24 horas","10/09/2015"
"cadiz 5-7","10/09/2015","24 horas","11/09/2015"
"quito con sucre o visceversa","14/09/2015","24 horas","16/09/2015"
"perojo 14","14/09/2015","8 a 20","02/10/2015"
"republica dominicana 33","16/09/2015","8 a 19","17/09/2015"
"avd. pintor felo monzon paso de peatones","09/09/2015","8 a 19","09/09/2015"
"leon y castillo zona carga y descarga","10/09/2015","8 a 18",""
"travieso","09/09/2015","24 horas",""
"tormento - agustina de aragon 11","09/09/2015","8 a 16","23/09/2015"
"avenida de escaleritas 149","09/09/2015","8 a 18",""
"olof palme 49","07/09/2015","9 a 15","07/09/2015"
"tindaya 41","07/09/2015","8 a 19","07/09/2015"
"acceso a zonas peatonales","","",""
"agata 3","09/09/2015","08 a 20",""
"lucas fernandez navarro 55","07/09/2015","24 horas",""
"numancia 25con salvador 4","","24",""
"marino  2","07/09/2015","24 horas","16/09/2015"
"guantanamo 72","","08 a 20",""
"san diego de alcala mister blisse 10","14/09/2015","",""
"taliarte1 41 desde32 hasta esquina taliarte con princesa guayarmina","14/09/2015","24",""
"reyes catolicos 48","11/09/2015","24",""
"diferentes de la ciudad","07/09/2015","08 a 20",""
"juan rejon 58","14/09/2015","08 a 18",""
"plaza de la constitucion 3","17/09/2015","08 a 20",""
"jorde 7","12/09/2015","08 a 20",""
"general bravo 28","09/09/2015","11/18",""
"pio xii 29","12/09/2015","8/9","12/09/2015"
"doctor jose guerra navarro 6- 2º juan rejon","14/09/2015","24","18/09/2015"
"juan manuel duran gonzalez 35","11/09/2015","8 a 12","11/09/2015"
"venezuela-viriato 54","14/09/2015","","17/09/2015"
"travieso con mayor de triana 2","10/09/2015","24","09/10/2015"
"arco 28","14/09/2015","8 a 20","14/09/2015"
"urbanizacion las torres 11","14/09/2015","24 horas",""
"el soldador 3","17/09/2015","8 a 20",""
"rafael cabrera","09/09/2015","12 a 00","09/09/2015"
"rafael cabrera","10/09/2015","12 a 00","11/09/2015"
"garcia morato","09/09/2015","7 a 15","11/09/2015"
"cuesta blanca 48 a 50","09/09/2015","7 a 22","08/10/2015"
"cuesta blanca  58","09/09/2015","7 a 22","08/10/2015"
"la pelota, 4","17/09/2015","8-20",""
"plaza de santa isabel,1","11/09/2015","",""
"mendizabal, 17","10/09/2015","",""
"faro 103-105","14/09/2015","8 a 18",""
"faro 105","14/09/2015","24","13/10/2015"
"doctor eustaquio quevedo 40","11/09/2015","8 a 14",""
"","","",""
"juan manuel duran gonzalez 51 con leon tolstoi o viceversa","14/09/2015","8 a 20",""
"avenida escaleritas altura paseo de chil","16/09/2015","9 a 15","16/09/2015"
"cayetano de lugo entre perez del toro y paseo tomas morales","17/09/2015","22 a 01","17/09/2015"
"pio x ii entre lepoldo matos e italia","14/09/2015","7,30 a 13","16/09/2015"
"real de san juan","11/09/2015","7 a 15","30/10/2015"
"avda. alcalde jose ramirez bethencourt(edificio granca)","11/09/2015","16-18",""
"alonso de ojeda ( zona peatonal) con americo vespucio ( acera)","16/09/2015","",""
"termino municipal de las palmas","14/09/2015","normal",""
"fernando guanarteme 54","21/09/2015","24","24/09/2015"
"termino municipal de las palmas","15/09/2015","normal","15/09/2015"
"gc 800( crta a marzagan esqu. Arquitecto richar est oppel)","15/09/2015","7/15","25/09/2015"
"leon y castillo altura aparcamientos saba","16/09/2015","24",""
"alfredo s. perez, 8","15/10/2015","24",""
"alfredo s. perez, 8","28/09/2015","",""
"alonso cano 9","19/09/2015","8/18","19/09/2015"
"1º arauz22 con bandama 2ºdesde nº17 la esqu. Con tamadaba 2º delnº 33 hasta esqu. Arauz","21/09/2015","24","26/09/2015"
"obispo vela 4","21/09/2015","24","25/09/2015"
"termino municipal de las palmas","16/09/2015","normal","16/09/2015"
"reyes catolicos, 79","21/09/2015","8-16",""
"granadera canaria, 21","21/09/2015","8-16",""
"granadera canaria, 28","21/09/2015","8-16",""
"italia, 59","21/09/2015","",""
"luchana, 28","18/09/2015","8-18",""
"mayor de triana ( zona peatonal)","22/09/2015","24","28/09/2015"
"avd. escaleritas 66","21/09/2015","8/18",""
"joaquin blume 19/21","21/09/2015","8/18",""
"paseo de tomas morales 3","24/09/2015","8/18","24/09/2015"
"termino municipal de las palmas","17/09/2015","normal","17/09/2015"
"doctor juan dominguez perez 29","18/09/2015","8/18",""
"avd. 1º de mayo 20 -22 y 15 - 21","10/10/2015","24","12/10/2015"
"juan e. doreste, 2","21/09/2015","24",""
"juaquin blume  21","22/09/2015","8/18","22/09/2015"
"albareda 82","19/09/2015","24",""
"asorio 61","22/09/2015","8/18","22/09/2015"
"pascal 22","25/09/2015","8/18","25/09/2015"
"almansa 11","22/09/2015","normal","30/09/2015"
"pasaje alfonso o`shanahan s/n","22/09/2015","24",""
"casas del roman 12","21/09/2015","8/18",""
"avd,. De escaleritas 178","22/09/2015","24","23/09/2015"
"pedro diaz 6","16/11/2015","24","15/12/2015"
"termino municipal de las palmas","18/09/2015","normla","18/09/2015"
"albert einstein 30 alfred nobel 21","30/09/2015","normal","02/10/2015"
"paseo las canteras,75","28/09/2015","",""
"castillejos, parroco fco. Rguez. Rguez,67","19/09/2015","",""
"saucillo, 30","23/09/2015","",""
"dolores de la rocha frente 11","22/09/2015","",""
"paseo de las canteras, 75","29/09/2015","",""
"luis correa medina, 3","06/11/2015","24",""
"azafata delgado 2","21/09/2015","24 horas","05/10/2015"
"viera y clavijo 20","28/09/2015","8 a 22",""
"LOS MARTINEZ DE ESCOBAR 66","22/09/2015","24 HRAS","06/10/2015"
"plaza de stagno, 1","23/09/2015","24","23/09/2015"
"leon y castillo, 417","23/09/2015","8-18",""
"faro 105","24/09/2015","24 horas","23/10/2015"
"madreselva 13","24/09/2015","24 horas","26/09/2015"
"la naval, 38","25/09/2015","24",""
"el cotillo 640 a b","28/09/2015","24","27/10/2015"
