Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
20/03/2014,CRUZ DE HUMILLADERO,CRUZ DE HUMILLADERO,AV JOSE ORTEGA Y GASSET Nr: 12,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,ESTE,HACIENDA CLAVERO,CL FEDERICO FELLINI Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
20/03/2014,ESTE,PLAYA VIRGINIA,CL PLAYA VIRGINIA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
21/03/2014,CRUZ DE HUMILLADERO,LA UNION,CL DULCE CHACON Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
21/03/2014,CENTRO,PLAZA DE TOROS VIEJA,CL CANALES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
21/03/2014,ESTE,JARAZMIN,CL JARAZMIN ALTO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
21/03/2014,ESTE,PODADERA,CL ESCRITOR AMBROSIO DE ACUÑA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
21/03/2014,CHURRIANA,CHURRIANA,CL BENAMOCARRA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
21/03/2014,CRUZ DE HUMILLADERO,CARRANQUE,CL VIRGEN DE LA ESPERANZA Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
21/03/2014,CARRETERA DE CADIZ,VIRGEN DE BELEN,CL CHICUELO II Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
21/03/2014,TEATINOS-UNIVERSIDAD,EL CONSUL,CL ESQUILO Nr: 4,Actuación Programada,Colégio Público,Desratización,Ratas
21/03/2014,CAMPANILLAS,CAMPANILLAS,CL ISRAEL Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
21/03/2014,CARRETERA DE CADIZ,PARQUE MEDITERRANEO,CL REALENGA DE SAN LUIS Nr: 11,Actuación Programada,Otro Edificio de Depdencia Mun,Desratización,Ratas
21/03/2014,CRUZ DE HUMILLADERO,PARQUE EMP. EL VISO,CL ALCALDE GOMEZ GOMEZ Nr: 77,Ciudadano,SOLAR,INSPECCIÓN,Indeterminado
21/03/2014,CENTRO,PLAZA DE TOROS VIEJA,CL CONSTANCIA Nr: 1,Linea 900,Privado,Control de Gaviotas,Gaviota
21/03/2014,CARRETERA DE CADIZ,HUELIN,CL EMILIO DE LA CERDA Nr: 2,Linea 900,Privado,Control de Gaviotas,Gaviota
21/03/2014,CRUZ DE HUMILLADERO,POL ALAMEDA,AV AURORA Nr: 52,Linea 900,Privado,Control de Palomas,Paloma
21/03/2014,CHURRIANA,CAÑADA DE CEUTA,CMNO SIERRA DE LA Nr: 117,Junta Municipal de Distrito,Vía Pública,Desratización,Ratas
