DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
04/09/2013,2013,9,11:15
05/09/2013,2013,9,08:30
06/09/2013,2013,9,17:30
07/09/2013,2013,9,06:38
08/09/2013,2013,9,06:40
07/09/2013,2013,9,23:25
08/09/2013,2013,9,12:54
09/09/2013,2013,9,03:10
08/09/2013,2013,9,13:30
08/09/2013,2013,9,18:47
09/09/2013,2013,9,06:10
10/09/2013,2013,9,14:00
13/09/2013,2013,9,12:30
13/09/2013,2013,9,16:16
17/09/2013,2013,9,12:50
18/09/2013,2013,9,13:05
19/09/2013,2013,9,11:40
19/09/2013,2013,9,20:30
20/09/2013,2013,9,00:30
21/09/2013,2013,9,02:00
23/09/2013,2013,9,14:00
23/09/2013,2013,9,14:45
23/09/2013,2013,9,11:20
22/09/2013,2013,9,21:05
24/09/2013,2013,9,13:26
24/09/2013,2013,9,20:00
25/09/2013,2013,9,10:20
26/09/2013,2013,9,22:44
27/09/2013,2013,9,09:55
27/09/2013,2013,9,14:45
28/09/2013,2013,9,11:50
30/09/2013,2013,9,11:50
30/09/2013,2013,9,14:40
30/09/2013,2013,9,17:45
01/10/2013,2013,10,14:43
02/10/2013,2013,10,13:00
04/10/2013,2013,10,23:15
04/10/2013,2013,10,19:25
04/10/2013,2013,10,15:00
04/10/2013,2013,10,16:00
04/10/2013,2013,10,18:13
05/10/2013,2013,10,10:00
04/10/2013,2013,10,15:48
07/10/2013,2013,10,14:43
08/10/2013,2013,10,18:50
10/10/2013,2013,10,19:07
11/10/2013,2013,10,12:45
11/10/2013,2013,10,07:50
11/10/2013,2013,10,07:50
12/10/2013,2013,10,13:15
13/10/2013,2013,10,06:00
15/10/2013,2013,10,17:57
18/10/2013,2013,10,09:25
18/10/2013,2013,10,12:50
18/10/2013,2013,10,21:40
20/10/2013,2013,10,08:45
18/10/2013,2013,10,16:15
21/10/2013,2013,10,20:25
21/10/2013,2013,10,15:30
21/10/2013,2013,10,08:40
22/10/2013,2013,10,07:20
23/10/2013,2013,10,15:05
24/10/2013,2013,10,08:10
24/10/2013,2013,10,07:40
24/10/2013,2013,10,17:45
25/10/2013,2013,10,17:30
28/10/2013,2013,10,09:30
28/10/2013,2013,10,11:32
29/10/2013,2013,10,11:00
29/10/2013,2013,10,12:15
30/10/2013,2013,10,13:30
03/11/2013,2013,11,21:36
04/11/2013,2013,11,12:30
04/11/2013,2013,11,15:15
05/11/2013,2013,11,18:05
05/11/2013,2013,11,10:55
05/11/2013,2013,11,19:05
05/11/2013,2013,11,20:30
05/11/2013,2013,11,13:50
06/11/2013,2013,11,19:15
07/11/2013,2013,11,20:45
08/11/2013,2013,11,17:00
11/11/2013,2013,11,14:35
11/11/2013,2013,11,16:00
12/11/2013,2013,11,11:10
12/11/2013,2013,11,19:30
13/11/2013,2013,11,07:00
13/11/2013,2013,11,13:30
14/11/2013,2013,11,12:00
14/11/2013,2013,11,14:45
15/11/2013,2013,11,08:40
16/11/2013,2013,11,14:10
16/11/2013,2013,11,09:30
16/11/2013,2013,11,13:30
16/11/2013,2013,11,09:30
17/11/2013,2013,11,13:55
18/11/2013,2013,11,14:10
19/11/2013,2013,11,12:35
19/11/2013,2013,11,18:40
20/11/2013,2013,11,08:35
20/11/2013,2013,11,15:50
21/11/2013,2013,11,13:26
22/11/2013,2013,11,19:50
22/11/2013,2013,11,14:20
22/11/2013,2013,11,18:30
