ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
BAR,BAR EL MAÑO,"CTRA TERRASSA, 78",DA5,
BAR,BAR EL PASEO,"AV ESTATUT, 20 Esc 1 PB 3B",DA6,
BAR-RESTAURANT,BAR EL PATIO,"PG FERROCARRIL, 1 Esc 1 PB 05",DA4,
BAR-RESTAURANT,BAR EL PATIO,"C CERVANTES, 104",DA6,
RESTAURANT,BAR EL PORTALET,"C SANT SEBASTIA, 1 PB",DA4,
BAR,BAR EL REY CHICO,"C JUAN RAMON JIMENEZ, 30 Esc 1 PB 02",DA6,
BAR-RESTAURANT,BAR EL RINCON DEL BARRIO,"C BILBAO, 2 PB",DA5,
BAR-RESTAURANT,BAR EL ROCIO,"C MARE DE DEU DE FATIMA, 45-47",DA6,
RESTAURANT,BAR EL RUSTIDOR,"CTRA TERRASSA, 78",DA5,
BAR,BAR EL VIOLÍN,"AV ASTRONOMIA, 11-17 LOC 03",DA6,
BAR-RESTAURANT,BAR EXTREMEÑO,"C CAL GERRER, 1-5",DA6,
BAR,BAR FRANKFURT VENTIDOS,"C PASTORA (LA), 22",DA5,
BAR,BAR GALERIAS RUBI,"PG FRANCESC MACIA, 46",DA4,
BAR,BAR GALICIA,"C TORRENT DE L'ALBA, 7",DA4,
BAR,BAR GARCÍA,"PL NOVA, 2 LOC 01",DA3,
BAR,BAR GIRASOL,"C SAFIR, 33",DA1,
BAR,BAR GOL D'EN BONA,"C JUAN RAMON JIMENEZ, 16 Esc A PB 01",DA6,
BAR-CAFETERIA,BAR GRANJA CAFETERIA EL CAFÉ,"C MAGALLANES, 57 LOC 04",DA6,
BAR,BAR GRANJA NOVA,"AV CAN FATJO, 143",DA1,
BAR,BAR GRANJA V,"C DIAMANT, 66 Esc 1 PB 01",DA1,
BAR,BAR HAMBURGUESERIA PICÓN,"C SANTA FE, 30",DA5,
BAR,BAR HERRERO,"C OR, 32",DA1,
Bar,BAR I TRES,"PL JOSEP SAPES, 2",DA1,
BAR,BAR IRIS,"C SANTA FE, 2",DA5,
BAR,BAR J.J,"C FOLCH I TORRES, 1",,
BAR-RESTAURANT,BAR LA CABALLA,"C MONTURIOL, 15 PB 02",DA6,
BAR,BAR LA CANTONADA,"C PRAT DE LA RIBA, 1",DA4,
BAR,BAR LA CARRACA,"C CICLISME, 44 Esc A PB 01",DA3,
BAR-RESTAURANT,BAR LA CAÑITA,"C JOAN FIVELLER, 26 PB 01",DA6,
BAR,BAR LA GALERA,"C BARCELONA, 66",DA5,
BAR,BAR LA LLESCA,"CTRA SANT CUGAT, 12 LOC 01",DA6,
BAR,BAR LA RAMBLA,"C FRANCESC ROVIRA, 10-12 Esc 3 PB C",DA1,
BAR,BAR LA RANA,"GRUP VINT-I-CINC DE SETEMBRE, 27",DA3,
BAR,BAR LA TAPITA,"C BARTRINA, 39",DA6,
BAR,BAR LA TERRACITA,"C JUAN RAMON JIMENEZ, 1-9 LOC A",DA6,
BAR,BAR LA TERTULIA,"AV CAN CABANYES, 5 PB 07",DA6,
BAR-RESTAURANT,BAR LAS BRUJAS,"GRUP VINT-I-CINC DE SETEMBRE, 45 PB 02",DA3,
BAR RESTAURANT,BAR LAS PALMERAS II,"C GENERAL CASTAÑOS, 20 LOC 02",DA6,
BAR,BAR LAS PALOMAS,"C TOPAZI, 55 PB 01",DA1,
BAR-RESTAURANT,BAR LEPANTO,"C LEPANT, 62-64",DA5,
BAR-RESTAURANT,BAR LLAMAS,"PL PROGRES, 9 Esc C PB 03",DA6,
BAR,BAR LOLI,"C FONT DEL FERRO, 55 PB",DA5,
BAR,BAR LORIS,"C MONTURIOL, 48",DA3,
BAR,BAR LOS CLAVELES,"C VICTOR BALAGUER, 39",DA6,
BAR,BAR MANOLO,"CTRA TERRASSA, 96",DA5,
BAR,BAR MEDITERRANEO,"C SANT JOAN, 37-39 PB 05",DA4,
BAR,BAR MERCAT,"C LLUIS RIBAS, 27-29 Esc 1 PB 08",DA6,
BAR,BAR MIL.LENARI,"C FONT DE LA VIA, 3 Esc 1 PB 01",DA1,
BAR,BAR NAPOLES,"C PRAT DE LA RIBA, 24",DA4,
BAR-RESTAURANT,BAR NARCEA,"CTRA MOLINS DE REI, 43-45",DA3,
BAR RESTAURANT,BAR NEVADA,"C LEPANT, 51 LOC 02",DA5,
BAR,BAR NOU AVILA,"AV CAN FATJO, 90",DA1,
BAR,BAR NOU BARCELONA,"C SANT JOAN, 5",DA4,
BAR,BAR NOVA RAMBLA,"AV CATALUNYA, 8 Esc 2 PB 06",DA3,
BAR,BAR O'KAÑA,"AV FERRER I DOMINGO, 12-14 LOC 01",DA1,
BAR RESTAURANT,BAR OLIMPÍADES,"AV OLIMPIADES, 19-25 Esc 1 ST 01",DA5,
BAR,BAR PACO,"PTGE LLOBATERAS, 10 PB 05",DA6,
BAR,BAR PEDRAFORCA,"C MONTURIOL, 5 LOC 07",DA6,
BAR,BAR PEDROSA,"C MILA I FONTANALS, 9",DA6,
BAR,BAR PLAZA,"CTRA SABADELL, 20 LOC 04",DA5,
BAR,BAR POLO,"C CA N'ALZAMORA, 11",PI. CA N'ALZAMORA,
BAR,BAR PROGRESO,"PL PROGRES, 11",DA6,
BAR RESTAURANT,BAR RESTAURANT CAL TONY,"C FRANCISCO GUERRERO, 2",DA1,
RESTAURANT,BAR RESTAURANT CAN BASTIDA,"C COLLITA, 2-6 NV 08",PI. LA BASTIDA,
BAR-RESTAURANT,BAR RESTAURANT CAN SORT,"C NARVAEZ, 2-4 NV 05",PI. CAN JARDI,
RESTAURANT,BAR RESTAURANT HUELVA,AV ESTATUT,DA6,
BAR-RESTAURANT,BAR RESTAURANT LA CANELA,"AV COMAS I SOLA, 20",DA6,
BAR,BAR RESTAURANT LA PASTORA,"C PASTORA (LA), 31",DA5,
BAR-RESTAURANT,BAR RESTAURANT RALLY,"CTRA MOLINS DE REI, Km 9,8",PI. CA N'ALZAMORA,
RESTAURANT,BAR RESTAURANT SANGLOT,"C STRAVINSKY, 10",PI. CAN JARDI,
BAR-RESTAURANT,BAR RESTAURANT TORRENT DE L'ALBA,"C TORRENT DE L'ALBA, 17 LOC 06",DA6,
BAR-RESTAURANT,BAR RESTAURANTE CASA PACO,"C JOAN MARAGALL, 38",DA6,
BAR-RESTAURANT,BAR RESTAURANTE COVA-SOLERA,"C SARDANA, 2",PI. COVA SOLERA,
BAR-RESTAURANT,BAR RESTAURANTE LA PARADA I,"AV CAN SUCARRATS, 56",DA1,
BAR-RESTAURANT,BAR RESTAURANTE LOS GOMEZ,"AV ESTATUT, 229-231 Esc 1 LOC 01",DA5,
BAR-RESTAURANT,BAR RESTAUTANT ORIENTAL ZHE XIN,"C APEL.LES MESTRES, 2 PB 04",DA6,
BAR,BAR RIAS BAIXAS,"C JUAN RAMON JIMENEZ, 19 04 01",DA6,
BAR,BAR RIGODON,"C SABADELL, 51 PB 01",DA5,
BAR,BAR RINCON DE PEPE,"C SERVET, 14",DA3,
BAR,BAR SAFIR,"C SAFIR, 30",DA1,
BAR,BAR SEGOVIA,"C ABAT ESCARRE, 36",DA4,
BAR,BAR SPORT,"C CERVANTES, 112",DA6,
BAR,BAR SUSANA,"C CALDERON DE LA BARCA, 45",DA6,
BAR,BAR TRÈBOL,"PG RIERA, 54 01",DA4,
BAR,BAR VAQUERO,"C SABADELL, 26",DA5,
BAR,BAR VELEZ,"C MADRID, 67-69 PB 02",DA5,
BAR,BAR VENEZUELA,"C ANGEL GUIMERA, 8",DA6,
BAR,BAR WILDER,"C GARCIA LORCA, 1 LOC 05",DA6,
BAR,BAR-CAFETERIA EL DIARI,"C MARCONI, 14 PB",DA6,
BAR-RESTAURANT,BAR-RESTAURANT CAN ROSÉS,"C FUTBOL, 1",DA5,
BAR-XURRERIA,BAR-XURRERIA CA N'ORIOL,"C SORIA, 2",DA5,
BAR,BAR-XURRERIA ESTACIÓ II,"C CALDERON DE LA BARCA, 5 LOC 02",DA6,
PERRUQUERIA,BARBERIA ESTACIO,"C ABAT ESCARRE, 15 LOC 01",DA4,
AGÈNCIA DE VIATGES,BARCELÓ VIATGES,"AV BARCELONA, 39",DA4,
GIMNÀS DE BOXA,CLUB BOXEO RUBÍ,"C SARDANA, 22",PI. COVA SOLERA,
COMERÇ AL DETALL DE PISCINES I ELS SEUS COMPLEMENTS,BARCO PISCINAS Y JARDINES,"CTRA MOLINS DE REI, 39-41",DA3,
TALLER DE VERNISSATS I LACATS,BARNIZADOS LUIS ESCOBAR,C PROGRES,PI. CA N'ALZAMORA,
LLAR D'INFANTS,BARRUFETS,"CAMI CA N'ORIOL, 9-11",DA5,
COMERÇ AL DETALL DE LLAMINADURES,BARRUFILANDIA,"C MILA I FONTANALS, 19 Esc 2 PB 03",DA6,
MAGATZEM DE TOT TIPUS D'ARTICLES,BASAR,"C LLUIS RIBAS, 1 Esc 1 PB 04",DA6,
COMERÇ AL DETALL DE TOT IPUS DE PRODUCTES (BASAR ),BASAR CA N'ORIOL,"C MARE DE DEU DE LOURDES, 41-45",DA5,
COMERÇ AL DETALL D'ALTRES PRODUCTES EN ESTABLIMENTS NO ESPECIALITZATS (BASAR SENSE ALIMENTACIÓ),BASAR CHINO MEDIO SIGLO,"C ABAT ESCARRE, 45-47 LOC B",DA4,
BASAR,BASAR CONTINENTAL,"C MAGI RAMENTOL, 21",DA4,
BASAR,BASAR GRAN ESTIL,"C LLOBATERAS, 93-95",DA6,
COMERÇ AL DETALL DE TOT TIPUS D'ARTICLES,BASAR POPULAR,"PG PAU CLARIS, 56",DA4,
BASAR,BASAR SANT JORDI PARK,"AV FERRER I DOMINGO, 4 PB A",DA1,
DROGUERIA,BAUZA,"C SANT JOAN, 14",DA4,
COMERÇ AL DETALL DE TOT TIPUS DE PRODUCTES D'US DOMESTIC,BAZAR HONG KONG,"C MARE DE DEU DE LOURDES, 63 Esc 1 PB 02",DA5,
BASAR,BAZAR NUEVA,"AV CAN CABANYES, 17 04 01",DA3,
COMERÇ AL DETALL D'ARTICLES SENSE ESPECIFICAR,BAZAR ORIENTAL,"C BARTRINA, 13 Esc 1 PB 13",DA6,
BASAR DE MULTIPREU,BAZAR RUBÍ,"C BASSES, 60-62",DA5,
BANC,BBVA,"PG FRANCESC MACIA, 32",DA4,
MAGATZEM D'APARELLS ELECTRODOMESTICS,BCN DES GESCCOM,"CTRA SABADELL, 247 NV 01",PI. LA BASTIDA,
BAR,BEER RUBI,"AV CAN CABANYES, 2",DA3,
PERRUQUERIA,BEL.LA SCP,"C JUAN RAMON JIMENEZ, 26 Esc 1 PB 02",DA6,
VENDA AL DETALL DE CALÇAT I COMPLEMENTS,BENDRANAS,"AV BARCELONA, 2",DA4,
BENZINERA,BENZINERA LOW COST,"CTRA MOLINS DE REI, 60",PI. CA N'ALZAMORA,
MAGATZEM D'APARELLS D'IL.LUMINACIÓ I ACCESSORIS,BERNUI EXCLUSIVAS,"C PUIG I GAIRALT, 11",PI. CAN PI DE VILAROC,
FABRICACIÓ DE PRODUCTES QUÍMICS NO INCLOSOS EN L'ANNEX I DE LA LLEI 20/2009,BETAQUIMICA,"C ROMA, 29",,
FABRICACIO DE PRODUCTES QUIMICS NO INCLOSOS EN L'ANNEX I DE LA LLEI/2009 (CANVI NO SUBSTANCIAL),BETAQUIMICA,"C ROMA, 29",PI. COVA SOLERA,
MAGATZEM D'EINES I PRODUCTES PER A LA CONSTRUCCIÓ,BHOLER WELDING GROUP,"C SCHUMANN, 15",PI. CAN JARDI,
PERRUQUERIA,BIANCA BELLE,"C MAXIMI FORNES, 8",DA4,
VENTA AL POR MENOR DE MOTOCICLETAS Y BICICLETAS,BICICLETES PAGÉS,"C MONTSERRAT, 5",DA4,
COMERÇ AL DETALL D'ARTICLES DE BISUTERIA,BISUTERIA ANNA,"C DURAN I BAS, 30 PB 05",DA6,
FABRICACIÓ D'EQUIPS I MATERIALS ELÈCTRICS,BJC MATERIAL ELECTRIC,"AV LLANA, 95-105",PI. LA LLANA,
DISSENY I FABRICACIÓ DE PROTOTIPS MECÀNICS,BLAT ENGINEERING,"C ALT, 9 NV 04",PI. CA N'ALZAMORA,
VENDA AL DETALL DE ROBA I COMPLEMENTS,BLAU I ROSA,"PG FRANCESC MACIA, 46 PB",DA4,www.blauirosarubi.com
FABRICACIÓ I CONFECCIÓ DE PECES TÈXTILS,"BLONDART, SL",C SCHUMANN,PI. CAN JARDI,
"COMERÇ AL DETALL DE PLATS PRECUINATS, ROSTISSERIA",BOCADILLOS MARTIL MENJAR PER EMPORTAR,"PL CONSTITUCIO, 10 Esc 4 PB 02",DA3,
BAR-RESTAURANT,BOCATAPA,C CAL GERRER,DA6,
,CLUB NINES,"AV ESTATUT, 37",DA6,
VENDA AL DETALL DE ROBA I COMPLEMENTS,BODAS MARY,"AV CAN CABANYES, 2",DA3,
"VENDA AL DETALL DE VINS, CAVES I LICORS",BODEGA ROSAS,"C CERVANTES, 76",DA4,
VENTA AL POR MENOR DE LICORES,BODEGA VENDA DE LICORS,"PL CONSTITUCIO, 2 PB",DA3,
VENDA DE VI A GRANEL I EMMAGATZEMATGE,BODEGAS ROSÀS,"C VERDI, 20-26 Bl A NV 08",PI. CAN JARDI,
FABRICACIÓ I ESTAMPACIÓ DE METALLS,"BOLOS BOXBOL, SL","C PUIG I GAIRALT, 2 NV 07",PI. CAN PI DE VILAROC,
VENDA AL DETALL D'ARTICLES DE MARROQUINERIA,BOLSOS SERRA,"C PERE ESMENDIA, 17 01",DA4,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,BOMBAS ELIAS,"CTRA MOLINS DE REI, Km 8,7",PI. CAN JARDI,
CARNISSERIA,BON AREA,"C MARE DE DEU DE LOURDES, 15",DA5,
CARNISSERIA,BON AREA,"C NARCIS MENARD, 9-11 PB 01",DA4,
COMERÇ AL DETALL DE HERBORISTERIA I TERÀPIES NATURALS,BON CARMA HERBODIETÈTICA,"C CAL GERRER, 8 Esc 1 PB 06",DA6,
VENDA AL DETALL DE ROBA I COMPLEMENTS,BORSACHE,"AV BARCELONA, 43",DA4,
VENDA AL DETALL DE ROBA I COMPLEMENTS,BOSANOVA,"C PINTOR MURILLO, 56 LOC",DA4,
MAGATZEM I LOGÍSTICA DE PRODUCTES ADHESIUS,BOSTIK,"C STRAVINSKY, 12",PI. CAN JARDI,
"COMERÇ AL DETALL D'ALIMENTACIÓ, ACCESSORIS PER ANIMALS I PERRUQUERIA CANINA",BOTIGA D'ANIMALS,"C TORRENT DE L'ALBA, 3 PB 05",DA4,
BAR,BOTIKING,"GRUP VINT-I-CINC DE SETEMBRE, LOC 25",DA3,
MAGATZEM DE MATERIAL PER ARTS GRÀFIQUES,"BOTTCHER COMERCIAL, SA","PG RIERA, 228 NV D",PI. CTRA. TERRASSA,
ESTACIÓ DE SERVEI,BP ESTACIO DE SERVEI LA BASTIDA,"C PAGESIA, 2",PI. LA BASTIDA,
MAGATZEM SUBMINISTRES INDUSTRIALS,BRAMMER,"C ROMA, 13",PI. COVA SOLERA,
"LABORATORI, OFICINES PER L'INDÚSTRIA DE PRÒTESI DE CIRURGIA I PRODUCTES SANITARIS",BRAUN,"C AVINYO, 4",PI. CTRA. TERRASSA,
MAGATZEM I OFICINES,BRAUN,"PG RIERA, 208",PI. CTRA. TERRASSA,
"COMERÇ AL DETALL DE BRICOLATGE, FERRETERIA I DECORACIÓ PER LA LLAR",BRICO RUBÍ,"AV FERRER I DOMINGO, 43-45 PB 01",DA1,
FABRICACIÓ DE PECES METÀL·LIQUES,"BRIDGE TECNIC, SL","C BACH, 22",PI. CAN JARDI,
ESCOLA D'IDIOMES,BRITISH HOUSE,"C SANT CUGAT, 1",DA4,
CENTRE D'ENSENYAMENT NO REGLAT D'IDIOMES,BRITISH HOUSE,"AV BARCELONA, 19-21 01 01",DA4,
ESCOLA D'IDIOMES,BRITISH HOUSE,"PG FRANCESC MACIA, 2",DA4,
ACADÈMIA D'IDIOMES,BRITISH HOUSE IDIOMES,"PG FRANCESC MACIA, 47",DA4,
ESCOLA IDIOMES,BRITISH HOUSE LANGUAGES,"PG FRANCESC MACIA, 47",DA4,
ESCOLA IDIOMES,BRITISH HOUSE LANGUAGES,"C SANT CUGAT, 1 01 C",DA4,
ACADÈMIA D'IDIOMES,"BRITISH HOUSE LANGUAJES, SL","C SANT CUGAT, 1",DA4,
AUTOSERVEI DE PRODUCTES D'ALIMENTACIO AMB VENDA DE PA I OBRADOR,BROAS SUPERMERCAT,"PG TORRES, 62 LOC 02",,
VENDA AL DETALL DE ROBA I COMPLEMENTS,BRONZZE,"PG FRANCESC MACIA, 46",DA4,
FABRICACIÓ D'ALTRES PRODUCTES QUÍMICS,"BRUGAROLAS, SA","CAMI RIERA, 36",PI. COVA SOLERA,
COMERÇ A L'ENGRÒS DE FERROS I ACERS,BSA BARCELONA ACEROS,"C ROMA, 8-12",PI. COVA SOLERA,
MAGATZEM DE PECES METÀL·LIQUES,"BUENAVENTURA GINER, SA","AV CAN SUCARRATS, 101",PI. COVA SOLERA,
MAGATZEM DE MATERIAL PER A LA INDÚSTRIA,"BUENAVENTURA GINER, SA","AV CAN SUCARRATS, 97",PI. COVA SOLERA,
ASSESSORIA,BUSBACH SERVEIS,"C GENERAL PRIM, 33-35 01 02",DA4,
COMERÇ AL DETALL DE TELEFONIA MÒBIL,BUSCATEL COMUNICACIONES,"AV COMAS I SOLA, 14 LOC 01",DA6,
FABRICACIÓ DE MOTLLES,BUSQUI,"AV GAUDI, 152-160",PI. CAN PI DE VILAROC,
REPARACIÓ DE CALÇAT,C CALÇATS REPARACIÓ I CONFECCIÓ DE SABATES A MIDA,"C JUAN RAMON JIMENEZ, 26",DA6,
MAGATZEM DE PRODUCTES COSMETICS I ALIMENTACIO,C NATURAL,"C EMILI SOLA, 15",PI. CAN PI DE VILAROC,
COMPLEX ESPORTIU,C.E. OLIMPIC CAN FATJO,"C LUXEMBURG, 1",PI. COVA SOLERA,
COMERÇ AL DETALL DE LLENCERIA,CA LA NATALIA,"C SAFIR, 24 LOC IZ",DA1,
BAR-RESTAURANT,CA LA XANA,"C MAGI RAMENTOL, 6 PB",DA4,
CLÍNICA VETERINÀRIA,CA N'ORIOL VETERINARIA,"C CIUDAD REAL, 21",DA5,
MAGATZEM DE PECES METAL·LIQUES,CAAD,"C ROMA, 8-12 NV 06",PI. COVA SOLERA,
BAR,CAFE CATALUNYA,"PL CATALUNYA, 14",DA4,
BAR,CAFE DE LA VERA (SANTA ANNA),"C CAL GERRER, 10-12 Esc 1 PB 04",DA6,
BAR,CAFE EBANO,"C CAL GERRER, 4 LOC 04",DA6,
BAR-RESTAURANT,CAFETERIA COTORRAS,"C MOSSEN CINTO, 2",DA4,
BAR,CAFETERIA EL TRIFASIC,"C SABADELL, 78 PB 02",DA5,
CAFETERIA-BAR,CAFETERIA L'OBRADOR,"C EIVISSA, 4",,
RESTAURANT,CAFETERIA RESTAURANT TIMANFAYA,"C EDUARD FONTSERE, 22 LOC 02",DA6,
BAR,CAFETERIA RIO MARTIL,"PL CONSTITUCIO, 5",DA3,
BAR CAFETERIA,CAFÈ BERLÍN,"C RAFAEL CASANOVA, 18 PB 01",DA4,
BAR,CAFÉ BAR CHA-CHA,"C VICTOR BALAGUER, 13 01",DA6,
BAR,CAFÉ CAFÉ,PL DOCTOR PEARSON,DA4,
BAR,CAFÉ-BAR AVINGUDA,"AV CASTELLNOU, 178",DA2b,
TALLER DE CALDERERIA,CAIBER,"C LONDRES, 5-11 NV 03",PI. COVA SOLERA,
OFICINA BANCÀRIA,CAIXA CATALUNYA,"C CAL GERRER, 7",DA6,
OFICINA BANCÀRIA,CAIXA CATALUNYA,"C MADRID, 21 LOC",DA5,
sucursal bancaria,CAIXA D'ESTALVIS DE TERRASSA,"AV BARCELONA, 76",DA4,
OFICINA BANCÀRIA,CAIXA DE SABADELL,"CTRA SABADELL, 2",DA5,
OFICINA BANCÀRIA,CAIXA TERRASSA,"C MARE DE DEU DE LOURDES, 57",DA5,www.caixaterrassa.es
OFICINA BANCÀRIA,CAIXA TERRASSA,"PG TORRES, 51",DA3,www.caixaterrassa.es
OFICINA BANCÀRIA,CAIXA TERRASSA,"C SAFIR, 12",DA1,www.caixaterrassa.es
OFICINA BANCÀRIA,CAJA MADRID,"AV BARCELONA, 16",DA4,
OFICINA BANCÀRIA,CAJAMAR,"PL PROGRES, 2",DA6,www.cajamar.es
OFICINA BANCÀRIA,CAJAMAR SALA DE FORMACIO,"GRUP VINT-I-CINC DE SETEMBRE, 46",DA3,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,CAL TORRAS,"C CREU, 16 LOC 02",DA4,
VENDA AL DETALL DE CALÇAT I COMPLEMENTS,CALÇATS CAL VILA,"C CAL GERRER, 8",DA6,
COMERÇ AL DETALL DE CALÇAT,CALÇATS Q'WAI COMPLEMENTS,"C LLUIS RIBAS, 27-29",DA6,
FABRICACIÓ DE PECES METÀL·LIQUES,"CAMPALANS MECANIC PRECISION, SA","C PROGRES, 2",PI. CA N'ALZAMORA,
BAR-RESTAURANT,CAMPOS ESTELA,"C NATACIO, 17 NV 03",PI. CAN ROSES,
TALLER DE REPARACIÓ DE VEHICLES SENSE XAPA I PINTURA,CAN FATJO TH,"C OR, 29 PB",DA1,
RESTAURANT,CAN XERCAVINS / LA PARADA 2,"C FRANCESC ROVIRA, 10-12",DA1,
MAGATZEM DE PRODUCTES D'HIGIENE SANITÀRIA I BIOCIDES,CANNON HYGIENE,"CTRA SABADELL, 247 NV 33",PI. LA BASTIDA,
NETEJA D'UNITATS HIGIÈNIC-SANITÀRIES,CANNON HYGIENE,"CTRA SABADELL, 247 NV 97",PI. LA BASTIDA,
CARNISSERIA AMB OBRADOR,CANSALADERIA J MILA,"C CREU, 2 PB 01",DA4,
FABRICACIÓ DE PRODUCTES CÀRNICS,CANSALADERIAS MARTINEZ NAVARRO,"C NATACIO, 23",PI. CAN ROSES,
CARNISSERIA AMB OBRADOR,CANSALADERIES MARTINEZ NAVARRO,"C MARE DE DEU DE LOURDES, 60",DA5,
CENTRE SANITARI PÚBLIC,CAP SANT GENIS,"C MIQUEL MUMANY, 9-19",DA1,
GESTORIA,CAPMANY,"C JUSTICIA, 23",DA4,
INDUSTRIA QUÍMICA. FABRICACIÓ D'INGREDIENTS I ADDITIUS ALIMENTARIS,CARGIL SLU,"CTRA SABADELL, 242",PI. LA BASTIDA,
FABRICACIÓ DE PECES METÀL·LIQUES,"CARLOS ARBOLES, SA","C NARVAEZ, 10-12 NV 07",PI. CAN JARDI,www.carlosarboles.com
ELABORACIÓ DE GALETES,CARLOTA' S,"CTRA SABADELL, 247 NV 88",PI. LA BASTIDA,
"VENDA AL DETALL DE FLORS, PLANTES, ADOBS I COMPLEMENTS",CARMEN ART FLORAL,"C MONTURIOL, 6",DA6,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,CARMENCITA,"C MAXIMI FORNES, 60",DA4,
FUSTERIA - EBENISTERIA,CARMIQ,"C SCHUBERT, 28",PI. CAN JARDI,
AUTOSERVEI ALIMENTACIÓ AMB CARNISSERIA,CARNISSERIA ALIMENTACIÓ RIO MARTIL,"PL CONSTITUCIO, 10 Esc 4 PB 01",DA3,
COMERÇ AL DETALL DE PRODUCTES CARNICS,CARNISSERIA MERCE,"CTRA SABADELL, 105",,
CARNISSERIA,CARNISSERIA SUTRIAS,"C LLUIS RIBAS, 27-29 Esc 1 PB 11",DA6,
CARNISSERIA AMB OBRADOR,CARNS IBAÑEZ 2,"C ROSSEND BATLLO, 15-19 LOC 01",DA1,
CARNISSERIA,"CARNS SEFIANI, SL","PG FERROCARRIL, 1 Esc 1 PB 07",DA4,
FUSTERIA,CARPINTERIA ANTONIO MORENO BENAVIDES,"PG TORRES, 73",PI. CA N'ALZAMORA,
FUSTERIA METÀL·LICA,CARPINTERIA DE ALUMINIO ALG,"C SAGUNT, 26",DA5,
TANCAMENTS D'ALUMINI,CARPINTERÍA DE ALUMINIO RODRÍGUEZ,"C VERDI, 20-26 Bl A NV 03 NV 04",PI. CAN JARDI,
IMPRESSIÓ SOBRE CARTRONS,CARTONATGES RUBI,"C WAGNER, 16-18 PB B",PI. CAN JARDI,
BAR-RESTAURANT,CASA CANDIDO,"AV CAN SUCARRATS, 19-21",DA1,
BAR,CASA LIN,"C TORRENT DE L'ALBA, 19 LOC 08",DA6,
COMERÇ AL DETALL DE PRODUCTES I ACCESSORIS DE TELEFONIA,CASA MOVIL,"PG FRANCESC MACIA, 56",DA4,
RESTAURANT,CASA NICO,"C BARTRINA, 16 03",DA6,
SALA D'EXHIBICIÓ CINEMATOGRÀFICA I TEATRE,CASAL POPULAR,"C PERE ESMENDIA, 1",DA4,www.casalpopular.org
FABRICACIÓ I MAGATZEM D'ACCESSORIS DE CÀMPING,CASMAT SPORT,"CTRA SABADELL, 247 NV 21",PI. LA BASTIDA,
MAGATZEM DE PRODUCTES REFRACTARIS,CASTEL,"AV CAN SUCARRATS, 130 NV 06",PI. COVA SOLERA,
CENTRE SANITARI PÚBLIC,CAT SALUT CAP RUBI MUTUA TERRASSA,"C PRAT DE LA RIBA, 20",DA4,
AGÈNCIA D'ASSEGURANCES,CATALANA OCCIDENTE,"AV ESTATUT, 132 PB 05",DA5,
BAR-RESTAURANT,CATALUNYA DÖNER KEBAB I BA,"C GENERAL PRIM, 33-35 LOC 03",DA4,
REPARACIO D'ACUMULADORS ELECTRICS,CATREGEN,"C SCHUMANN, 7A",PI. CAN JARDI,www.catregen.es
MAGATZEM DE PRODUCTTES INDUSTRIALS I OFICINES,CBF-IBERICA,"CTRA SABADELL, 247 NV 74",PI. LA BASTIDA,
LOCAL D'ENTITAT SINDICAL,CCOO,"PL PLA I PALLEJA, 5 PB 05",DA4,
CENTRE D'ENSENYAMENT,CEIP 25 DE SETEMBRE,"C MARCONI, 60A Z.V",DA3,www.gencat.cat/educacio
CENTRE D'ENSENYAMENT,CEIP CA N'ALZAMORA,"C ANTONI SEDO, 91-101",DA3,
INSTAL·LACIÓ SOLAR FOTOVOLTAICA EN EL CEIP RIVO RUBEO,CEIP RIVO RUBEO,"C GRACIA, 34",DA1,
CENTRE D'ENSENYAMENT,CEIP RIVO RUBEO,"C GRACIA, 34",DA1,
PERRUQUERIA,CELESTE,"C TORRIJOS, 14 Esc 1 PB 04",DA4,
COMERÇ AL DETALL D'INSTRUMENTACIÓ ELECTRÒNICA I MÈDICA,"CELYON TECNICA, SL","PG TORRES, 100 LOC 06",DA3,
"FABRICACIÓ DE MORTER SEC, FORMIGÓ I EMMAGATZEMATGE",CEMEX,"C CESAR MARTINELL, 21 SUELO",PI. CAN PI DE VILAROC,
"FABRICACIÓ D'ELEMENTS DE FORMIGÓ, GUIX I CIMENT",CEMEX,"C CESAR MARTINELL, 23-31",PI. CAN PI DE VILAROC,
FABRICACIÓ I CONFECCIÓ DE PECES TÈXTILS,"CENTRAL ENCAJERA, SA","CTRA TERRASSA, 128",PI. CTRA. TERRASSA,
LOCAL DESTINAT A TASQUES SOCIOEDUCATIVES PER A INFANTS I JOVES,CENTRE COMPARTIR,CTRA SABADELL,DA5,
LOCAL D'ENTITAT ASSOCIATIVA,CENTRE CULTURAL D'ARAN,"C ANGEL GUIMERA, 19",DA6,
CENTRE DE TERÀPIES ALTERNATIVES,CENTRE CULTURAL DE RAJA YOGA,"C MONTURIOL, 20-22",DA6,
PERRUQUERIA I CENTRE D'ESTETICA,CENTRE D'ESTETICA SILVIA GARCIA,"C BASSES, 1 PB 01",DA4,
CENTRE D'ESTÈTICA,CENTRE D'ESTÈTICA MODELL,"C VICTOR BALAGUER, 2",DA6,
PERRUQUERIA I ESTÈTICA,CENTRE DE BELLESA ANA ASENSIO,"C SORIA, 4",DA5,
